sale_id,sale_date,product_id,store_id,customer_id,units_sold,unit_price,discount,cost_per_unit,total_sales,profit,region,channel,category,subcategory,product_name
50001,2024-05-07,101,3,10449,1,1211.46,0.21,729.87,957.05,227.18,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50002,2024-01-04,301,8,10550,1,516.91,0.12,283.57,454.88,171.31,Europe,Partner Store,Tablets,Android Tablet,TabMaster 11
50003,2024-05-13,201,8,10676,1,1338.88,0.19,683.92,1084.49,400.57,Europe,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50004,2024-07-15,101,3,10652,1,1205.78,0.02,717.51,1181.66,464.15,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50005,2024-04-30,401,4,10391,1,32.75,0.18,8.14,26.86,18.72,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50006,2024-08-16,301,3,10067,1,457.37,0.28,278.58,329.31,50.73,UK,Retail,Tablets,Android Tablet,TabMaster 11
50007,2024-05-16,103,2,10585,1,941.91,0.26,635.25,697.01,61.76,UK,Retail,Laptops,Business,ThinkPro 13
50008,2024-06-17,202,8,10230,1,1234.59,0.18,725.95,1012.36,286.41,Europe,Partner Store,Smartphones,iOS,iPhone 15 Pro
50009,2024-06-03,402,6,10451,1,61.9,0.09,18.24,56.33,38.09,Europe,Retail,Accessories,Tablet Accessories,TabCover Pro
50010,2024-10-25,302,8,10340,1,586.28,0.01,324.8,580.42,255.62,Europe,Partner Store,Tablets,iPad,iPad Air 5
50011,2024-10-20,201,1,10132,1,1182.67,0.12,705.17,1040.75,335.58,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50012,2024-01-06,103,7,10574,2,1029.27,0.12,613.74,1811.52,584.04,USA,Wholesale,Laptops,Business,ThinkPro 13
50013,2024-05-13,201,5,10143,1,1198.01,0.07,693.94,1114.15,420.21,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50014,2024-11-30,403,5,10586,1,119.87,0.03,44.01,116.27,72.26,Asia,Partner Store,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50015,2024-07-03,301,4,10598,2,503.87,0.14,274.35,866.66,317.96,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50016,2024-12-20,201,4,10186,1,1306.67,0.06,688.17,1228.27,540.1,USA,Wholesale,Smartphones,Android,Galaxy S24 Ultra
50017,2024-04-30,101,1,10583,1,1173.08,0.16,755.27,985.39,230.12,Europe,Online,Laptops,Ultrabook,ZenBook Pro 14
50018,2024-02-01,402,6,10237,1,56.03,0.13,18.14,48.75,30.61,Europe,Retail,Accessories,Tablet Accessories,TabCover Pro
50019,2024-12-07,102,8,10561,1,1376.1,0.19,1000.33,1114.64,114.31,Europe,Partner Store,Laptops,Gaming,Predator X15
50020,2024-03-01,103,4,10327,1,969.86,0.22,646.23,756.49,110.26,USA,Wholesale,Laptops,Business,ThinkPro 13
50021,2024-08-26,401,5,10043,1,31.28,0.02,7.8,30.65,22.85,Asia,Partner Store,Accessories,Smartphone Accessories,QuickCharge 30W
50022,2024-06-06,202,3,10495,1,1188.7,0.08,711.03,1093.6,382.57,UK,Retail,Smartphones,iOS,iPhone 15 Pro
50023,2024-03-22,402,8,10626,3,56.36,0.18,17.7,138.65,85.55,Europe,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50024,2024-07-26,201,1,10523,2,1187.42,0.19,639.64,1923.62,644.34,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50025,2024-12-17,101,5,10027,1,1218.9,0.15,764.04,1036.06,272.02,Asia,Partner Store,Laptops,Ultrabook,ZenBook Pro 14
50026,2024-09-14,401,7,10274,1,27.13,0.06,7.85,25.5,17.65,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50027,2024-12-26,302,4,10692,1,599.6,0.19,305.79,485.68,179.89,USA,Wholesale,Tablets,iPad,iPad Air 5
50028,2024-06-08,201,3,10092,1,1062.33,0.3,690,743.63,53.63,UK,Retail,Smartphones,Android,Galaxy S24 Ultra
50029,2024-12-19,403,1,10263,1,131.72,0.13,45.86,114.6,68.74,Europe,Online,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50030,2024-03-01,403,7,10286,1,127.31,0.1,46.34,114.58,68.24,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50031,2024-11-23,402,2,10663,1,61.28,0.16,18.92,51.48,32.56,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50032,2024-05-31,201,7,10269,1,1254.34,0.12,689.2,1103.82,414.62,USA,Wholesale,Smartphones,Android,Galaxy S24 Ultra
50033,2024-07-07,102,2,10183,1,1447.97,0.06,950.49,1361.09,410.6,UK,Retail,Laptops,Gaming,Predator X15
50034,2024-11-10,403,4,10455,1,126.19,0.09,44.5,114.83,70.33,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50035,2024-04-23,202,4,10186,1,1373.81,0.24,703.96,1044.1,340.14,USA,Wholesale,Smartphones,iOS,iPhone 15 Pro
50036,2024-04-22,302,2,10441,1,546.47,0.24,322.22,415.32,93.1,UK,Retail,Tablets,iPad,iPad Air 5
50037,2024-03-09,101,2,10165,1,1240.14,0.01,740.53,1227.74,487.21,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50038,2024-09-01,402,5,10194,1,57.1,0.14,17.91,49.11,31.2,Asia,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50039,2024-03-19,301,8,10163,2,521.41,0.15,267.64,886.4,351.12,Europe,Partner Store,Tablets,Android Tablet,TabMaster 11
50040,2024-08-20,102,6,10556,1,1449.52,0.04,960.09,1391.54,431.45,Europe,Retail,Laptops,Gaming,Predator X15
50041,2024-11-06,101,2,10627,2,1148.34,0.28,721.94,1653.61,209.73,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
